agent,model,debug_difficulty,instance_id,resolution_vanilla_0,resolution_vanilla_1,resolution_vanilla_2,phases_vanilla_0,phases_vanilla_1,phases_vanilla_2,link_graphectory_vanilla_0,link_graphectory_vanilla_1,link_graphectory_vanilla_2
OpenHands,deepseek-r1-0528,<15 min fix,astropy__astropy-7336,resolved,,,"P_1, L_1, V_2, P_1, V_2, L_1, V_1",,,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-r1-0528/astropy__astropy-7336/astropy__astropy-7336.pdf,,
OpenHands,deepseek-v3,15 min - 1 hour,django__django-14170,unresolved,,,"P_2, L_10, P_1",,,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-14170/django__django-14170.pdf,,
OpenHands,deepseek-v3,<15 min fix,django__django-15467,resolved,,,"P_1, L_5, P_1",,,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-15467/django__django-15467.pdf,,
OpenHands,deepseek-v3,15 min - 1 hour,django__django-17084,unsubmitted,,,"P_1, V_2, L_2, V_2, L_2, P_1, V_1, L_8",,,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-17084/django__django-17084.pdf,,
SWE-agent,deepseek-r1-0528,15 min - 1 hour,django__django-14672,resolved,resolved,resolved,"P_1, V_1, P_1, V_1, P_1, V_1, P_1, V_1, P_1, V_1, L_1, P_1, V_1","L_1, P_1, V_10","L_2, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-14672/django__django-14672.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/django__django-14672/django__django-14672.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/django__django-14672/django__django-14672.pdf
SWE-agent,deepseek-r1-0528,15 min - 1 hour,django__django-15252,unresolved,unresolved,unresolved,"P_1, V_1, P_1, L_1, P_3, V_1, L_3, P_1, V_1, P_1","L_1, P_5","L_3, P_4",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-15252/django__django-15252.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/django__django-15252/django__django-15252.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/django__django-15252/django__django-15252.pdf
SWE-agent,deepseek-r1-0528,<15 min fix,django__django-15863,resolved,unresolved,unresolved,"P_1, L_2, P_1, V_3","L_2, P_1, V_2, P_1, V_1","L_4, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-15863/django__django-15863.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/django__django-15863/django__django-15863.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/django__django-15863/django__django-15863.pdf
SWE-agent,deepseek-r1-0528,15 min - 1 hour,mwaskom__seaborn-3187,unresolved,unresolved,unresolved,"P_2, V_1, L_1","L_3, P_4, V_1, P_1, V_1, L_1","L_2, P_1, V_2",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/mwaskom__seaborn-3187/mwaskom__seaborn-3187.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/mwaskom__seaborn-3187/mwaskom__seaborn-3187.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/mwaskom__seaborn-3187/mwaskom__seaborn-3187.pdf
SWE-agent,deepseek-r1-0528,15 min - 1 hour,pylint-dev__pylint-6386,unresolved,unresolved,unresolved,"P_1, V_1, L_8, P_1, V_10","P_1, L_7, P_1, V_6","L_10, P_1, V_6",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/pylint-dev__pylint-6386/pylint-dev__pylint-6386.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/pylint-dev__pylint-6386/pylint-dev__pylint-6386.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/pylint-dev__pylint-6386/pylint-dev__pylint-6386.pdf
SWE-agent,deepseek-r1-0528,1-4 hours,pytest-dev__pytest-6197,unresolved,unresolved,unresolved,"P_1, V_2, L_4, P_1, V_1, L_1, P_1, V_1","L_2, P_1, V_2","L_4, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/pytest-dev__pytest-6197/pytest-dev__pytest-6197.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-1/deepseek-r1-0528/pytest-dev__pytest-6197/pytest-dev__pytest-6197.pdf,https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/application/SWE-agent/graphs/default/start_with_P/exp-2/deepseek-r1-0528/pytest-dev__pytest-6197/pytest-dev__pytest-6197.pdf
