instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
django__django-10914,resolved,unknown,9,10,0,9,8,1.1111111111111112,2,5.0,0.1,8,2,10,0:think,2,0.55,middle,2,1.0,False,1,1.0,4,4.0,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13480,resolved,unknown,6,6,0,5,5,1.0,1,5.0,0.16666666666666666,5,5,6,0:cd,2,0.43,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16139,resolved,unknown,13,17,0,11,6,1.3076923076923077,5,3.4,0.29411764705882354,4,2,17,1:cd,4,0.28,middle,3,1.0,False,1,1.0,2,2.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21379,unsubmitted,unknown,87,116,10,97,43,1.2528735632183907,25,5.72,0.19827586206896552,16,2,126,0:cd,12,0.42,early,27,1.14,True,5,1.52,23,7.0,True,4,False,True,38,9,False,True,False,"('localization',)",15,4.83,6,28,0,0,1,0
django__django-11790,unresolved,unknown,4,3,0,3,3,0.75,0,0.0,0.0,0,0,3,0:cd,1,0.5,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16667,unresolved,unknown,20,27,0,18,6,1.35,8,2.875,0.25925925925925924,4,2,27,1:cd,9,0.39,middle,6,1.0,False,1,1.0,5,5.0,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15569,resolved,unknown,5,4,0,4,4,0.8,0,0.0,0.0,0,0,4,0:cd,1,0.6,middle,1,1.0,False,1,1.0,2,2.0,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7985,unresolved,unknown,16,33,0,11,9,1.5625,25,5.2,0.2727272727272727,8,2,33,4:cd,7,0.09,early,2,1.0,False,1,1.0,1,1.0,False,0,False,False,6,5,True,False,False,N/A,1,1.0,1,1,0,0,0,0
django__django-14855,resolved,unknown,11,10,1,9,10,0.9090909090909091,0,0.0,0.0,0,0,11,0:think,1,0.73,middle,2,1.0,False,2,1.5,2,1.5,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25747,unresolved,unknown,19,31,1,20,7,1.5263157894736843,12,3.0,0.3225806451612903,5,2,32,0:cd,11,0.44,mixed,9,1.08,True,2,2.0,1,1.0,True,0,False,True,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
